id;id_pengambil;id_consumable;tanggal_peminjaman;jumlah
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
5;12321313;390;DD/MM/YEYE;1238
